# 全国个人账户记账利率（统一）

## 数据说明
- 2016 年起全国统一，各省执行相同利率
- 2015 年及之前各省自行确定（差异较大）
- 数据来源：人社部、财政部统一公布

## 全国统一数据（2001-2025）

年份，记账利率  
2001,2.25%  
2002,2.25%  
2003,2.25%  
2004,2.25%  
2005,3.00%  
2006,3.00%  
2007,4.76%  
2008,4.88%  
2009,4.66%  
2010,5.67%  
2011,6.60%  
2012,3.83%  
2013,3.12%  
2014,3.75%  
2015,2.97%  
2016,8.31%  
2017,8.29%  
2018,8.31%  
2019,8.12%  
2020,5.61%  
2021,6.12%  
2022,4.83%  
2023,3.97%  
2024,2.62%  
2025,1.5%  

## 数据说明

- 2016 年前各省利率可能不同（如广东 2015 年为 2.97%）
- 2016 年起全国统一执行
- 2025 年数据初步为 1.5%，最终数据以官方公布为准
- 2001-2015 年数据为估算值，需要各省官方数据验证
